Date,service,avg_stay,recommended_staff,Total_Admissions,discharges,Staff_Count,Flu_Cases,Bed_Occupancy,ICU_Demand,Emergency_Demand,General_Demand,Admissions
2025-10-17,ICU,5.428571428571429,2.0,566,524,46.291666666666664,118,81.1875,85,113,368,566
2025-10-18,emergency,9.25,1.0,587,530,42.875,125,83.53208333333333,88,117,382,587
2025-10-19,general_medicine,7.4,1.0,583,538,43.708333333333336,108,81.47708333333334,87,117,379,583
2025-10-20,surgery,10.0,2.0,598,553,44.291666666666664,124,81.90541666666667,90,120,388,598
2025-10-21,ICU,8.0,1.0,574,527,46.333333333333336,108,79.78666666666668,86,115,373,574
2025-10-22,emergency,6.0,1.0,614,558,44.833333333333336,126,82.82166666666667,92,123,399,614
2025-10-23,general_medicine,2.5,1.0,568,527,44.916666666666664,102,80.83083333333333,85,114,369,568
2025-10-24,surgery,8.333333333333334,2.0,595,541,44.166666666666664,153,81.255,89,119,387,595
2025-10-25,ICU,7.0,1.0,638,579,44.458333333333336,149,81.41125000000001,96,128,414,638
2025-10-26,emergency,5.333333333333333,2.0,593,546,43.541666666666664,140,80.16541666666667,89,119,385,593
2025-10-27,general_medicine,5.6,1.0,612,559,43.875,149,84.20125,92,122,398,612
2025-10-28,surgery,7.7,2.0,639,599,45.583333333333336,145,81.15458333333333,96,128,415,639
2025-10-29,ICU,5.333333333333333,2.0,621,573,45.583333333333336,142,81.3725,93,124,404,621
2025-10-30,emergency,6.555555555555555,2.0,654,608,44.833333333333336,142,82.97583333333334,98,131,425,654
2025-10-31,general_medicine,8.0,1.0,643,593,43.791666666666664,154,80.04291666666667,96,129,418,643
2025-11-01,surgery,8.375,2.0,631,580,43.208333333333336,161,81.17625,95,126,410,631
2025-11-02,ICU,14.0,1.0,656,611,44.708333333333336,156,80.05208333333333,98,131,427,656
2025-11-03,emergency,6.666666666666667,1.0,626,578,44.75,184,81.70583333333333,94,125,407,626
2025-11-04,general_medicine,11.0,1.0,679,634,45.791666666666664,150,81.60166666666667,102,136,441,679
2025-11-05,surgery,7.5,2.0,672,617,44.75,167,79.67999999999999,101,134,437,672
2025-11-06,ICU,11.0,1.0,632,583,43.208333333333336,178,79.2375,95,126,411,632
2025-11-07,emergency,9.0,1.0,658,613,44.791666666666664,168,80.75750000000001,99,132,427,658
2025-11-08,general_medicine,6.4,1.0,647,608,42.958333333333336,150,80.78333333333333,97,129,421,647
2025-11-09,surgery,13.0,1.0,607,556,42.333333333333336,169,80.4575,91,121,395,607
2025-11-10,ICU,7.333333333333333,1.0,623,568,43.416666666666664,180,79.62125,93,125,405,623
2025-11-11,emergency,8.666666666666666,2.0,643,605,43.083333333333336,159,81.49125,96,129,418,643
2025-11-12,general_medicine,4.5,1.0,671,635,44.791666666666664,170,80.20541666666666,101,134,436,671
2025-11-13,surgery,7.333333333333333,2.0,620,573,46.208333333333336,160,78.99458333333334,93,124,403,620
2025-11-14,ICU,5.714285714285714,2.0,677,622,43.916666666666664,171,81.30041666666666,102,135,440,677
2025-11-15,emergency,4.5,1.0,617,569,44.208333333333336,169,80.43708333333333,93,123,401,617
2025-11-16,general_medicine,6.0,1.0,622,580,45.416666666666664,160,82.0325,93,124,405,622
2025-11-17,surgery,7.666666666666667,2.0,614,561,45.208333333333336,169,80.87458333333333,92,123,399,614
2025-11-18,ICU,8.857142857142858,2.0,651,602,44.833333333333336,183,81.76208333333334,98,130,423,651
2025-11-19,emergency,8.0,2.0,688,633,43.375,163,82.85833333333333,103,138,447,688
2025-11-20,general_medicine,8.5,1.0,652,602,43.125,170,82.19041666666666,98,130,424,652
2025-11-21,surgery,5.8,1.0,651,592,41.916666666666664,169,85.05875,98,130,423,651
2025-11-22,ICU,13.0,1.0,625,583,43.125,165,81.84416666666667,94,125,406,625
2025-11-23,emergency,8.571428571428571,2.0,630,578,44.458333333333336,172,79.55041666666666,94,126,410,630
2025-11-24,general_medicine,6.6,1.0,670,610,44.083333333333336,174,81.64958333333333,100,134,436,670
2025-11-25,surgery,5.666666666666667,1.0,626,581,43.458333333333336,162,80.15791666666667,94,125,407,626
2025-11-26,ICU,7.0,1.0,645,601,44.333333333333336,171,80.89625,97,129,419,645
2025-11-27,emergency,6.5,1.0,680,634,44.166666666666664,166,80.4425,102,136,442,680
2025-11-28,general_medicine,8.666666666666666,2.0,663,618,46.416666666666664,163,80.10875,99,133,431,663
2025-11-29,surgery,9.5,1.0,675,621,43.541666666666664,174,81.32291666666667,101,135,439,675
2025-11-30,ICU,10.5,1.0,647,588,45.083333333333336,161,81.7,97,129,421,647
2025-12-01,emergency,5.8,1.0,618,578,43.125,154,80.93791666666667,93,124,401,618
2025-12-02,general_medicine,7.0,1.0,672,619,42.625,172,80.66250000000001,101,134,437,672
2025-12-03,surgery,10.0,1.0,635,583,44.333333333333336,159,81.01541666666667,95,127,413,635
2025-12-04,ICU,10.0,1.0,650,602,44.958333333333336,160,83.27541666666666,98,130,422,650
2025-12-05,emergency,7.75,1.0,621,573,44.833333333333336,171,81.67166666666667,93,124,404,621
2025-12-06,general_medicine,5.0,2.0,654,603,46.0,150,82.79916666666666,98,131,425,654
2025-12-07,surgery,8.4,1.0,660,600,43.416666666666664,137,83.71458333333334,99,132,429,660
2025-12-08,ICU,7.714285714285714,2.0,606,558,44.291666666666664,144,79.97500000000001,91,121,394,606
2025-12-09,emergency,6.333333333333333,1.0,638,587,43.375,153,81.67083333333333,96,128,414,638
2025-12-10,general_medicine,8.75,1.0,606,560,43.166666666666664,129,80.46833333333333,91,121,394,606
2025-12-11,surgery,10.5,1.0,608,562,46.25,138,80.90333333333334,91,122,395,608
2025-12-12,ICU,11.666666666666666,2.0,612,567,44.916666666666664,145,81.36958333333332,92,122,398,612
2025-12-13,emergency,3.75,1.0,577,525,41.208333333333336,133,79.50583333333334,87,115,375,577
2025-12-14,general_medicine,2.0,1.0,652,609,42.666666666666664,128,79.85000000000001,98,130,424,652
2025-12-15,surgery,9.5,1.0,574,529,44.333333333333336,113,82.77416666666666,86,115,373,574
2025-12-16,ICU,12.666666666666666,1.0,619,565,43.791666666666664,116,82.51708333333333,93,124,402,619
2025-12-17,emergency,8.0,1.0,580,536,43.5,109,81.20041666666667,87,116,377,580
2025-12-18,general_medicine,7.0,2.0,619,566,45.25,120,80.54291666666667,93,124,402,619
2025-12-19,surgery,6.0,1.0,622,574,46.583333333333336,119,80.74458333333332,93,124,405,622
2025-12-20,ICU,6.5,1.0,620,566,45.5,129,81.85916666666667,93,124,403,620
2025-12-21,emergency,6.0,1.0,553,508,43.541666666666664,113,82.35708333333334,83,111,359,553
2025-12-22,general_medicine,6.888888888888889,2.0,557,506,44.208333333333336,96,82.43041666666667,84,111,362,557
2025-12-23,surgery,6.444444444444445,2.0,558,511,45.791666666666664,81,80.905,84,112,362,558
2025-12-24,ICU,3.6666666666666665,1.0,585,536,43.083333333333336,102,81.20375,88,117,380,585
2025-12-25,emergency,6.2,1.0,533,472,45.291666666666664,85,81.035,80,107,346,533
2025-12-26,general_medicine,2.5,1.0,599,548,45.666666666666664,95,79.2025,90,120,389,599
2025-12-27,surgery,8.0,2.0,581,540,44.041666666666664,82,80.205,87,116,378,581
2025-12-28,ICU,9.375,2.0,568,520,42.25,92,82.66583333333334,85,114,369,568
2025-12-29,emergency,8.0,1.0,541,496,44.25,73,82.91875,81,108,352,541
2025-12-30,general_medicine,10.333333333333334,1.0,581,537,43.041666666666664,95,81.54666666666667,87,116,378,581
2025-12-31,surgery,5.666666666666667,1.0,567,520,45.25,78,82.42,85,113,369,567
2026-01-01,ICU,8.0,1.0,593,556,44.0,72,79.41416666666667,89,119,385,593
2026-01-02,emergency,6.333333333333333,2.0,594,527,43.375,83,81.90291666666667,89,119,386,594
2026-01-03,general_medicine,6.4,1.0,525,472,42.875,77,82.22416666666666,79,105,341,525
2026-01-04,surgery,8.333333333333334,1.0,544,501,45.041666666666664,69,81.8625,82,109,353,544
2026-01-05,ICU,9.77777777777778,2.0,542,504,46.166666666666664,67,83.11583333333333,81,108,353,542
2026-01-06,emergency,8.125,2.0,539,489,44.958333333333336,45,82.71166666666666,81,108,350,539
2026-01-07,general_medicine,7.0,1.0,471,417,44.416666666666664,52,82.97583333333334,71,94,306,471
2026-01-08,surgery,6.833333333333333,2.0,530,481,43.833333333333336,43,83.9025,80,106,344,530
2026-01-09,ICU,3.75,1.0,543,495,43.416666666666664,60,80.72833333333334,81,109,353,543
2026-01-10,emergency,8.4,1.0,521,479,45.291666666666664,46,80.96791666666667,78,104,339,521
2026-01-11,general_medicine,6.142857142857143,2.0,531,486,43.75,59,80.91875,80,106,345,531
2026-01-12,surgery,10.8,1.0,478,423,43.791666666666664,44,81.905,72,96,310,478
2026-01-13,ICU,5.0,1.0,509,464,46.333333333333336,55,82.07208333333334,76,102,331,509
2026-01-14,emergency,8.4,1.0,539,483,44.458333333333336,50,83.92875,81,108,350,539
2026-01-15,general_medicine,8.0,1.0,530,477,45.916666666666664,53,80.71708333333333,80,106,344,530
2026-01-16,surgery,5.8,1.0,525,475,44.583333333333336,49,79.9975,79,105,341,525
2026-01-17,ICU,7.142857142857143,2.0,530,485,41.875,42,80.98875,80,106,344,530
2026-01-18,emergency,5.5,2.0,514,465,44.958333333333336,51,81.42625,77,103,334,514
2026-01-19,general_medicine,7.714285714285714,2.0,522,480,44.208333333333336,59,81.17375,78,104,340,522
2026-01-20,surgery,8.0,1.0,521,465,43.041666666666664,50,82.4225,78,104,339,521
2026-01-21,ICU,8.0,1.0,518,458,44.875,48,81.38291666666667,78,104,336,518
2026-01-22,emergency,6.0,2.0,525,479,43.916666666666664,49,80.82041666666667,79,105,341,525
2026-01-23,general_medicine,11.666666666666666,1.0,521,478,42.625,49,79.94125,78,104,339,521
2026-01-24,surgery,7.0,1.0,504,446,45.75,49,82.79208333333334,76,101,327,504
2026-01-25,ICU,7.666666666666667,1.0,541,491,46.0,46,81.60541666666667,81,108,352,541
2026-01-26,emergency,3.25,1.0,550,510,45.833333333333336,60,81.41,82,110,358,550
2026-01-27,general_medicine,7.6,1.0,562,511,44.916666666666664,65,79.99083333333333,84,112,366,562
2026-01-28,surgery,7.2,1.0,511,463,45.25,62,81.91125,77,102,332,511
2026-01-29,ICU,6.8,1.0,509,475,45.416666666666664,45,81.04708333333333,76,102,331,509
2026-01-30,emergency,8.833333333333334,2.0,511,461,44.75,35,80.85666666666667,77,102,332,511
2026-01-31,general_medicine,10.0,1.0,554,500,43.791666666666664,64,80.10708333333334,83,111,360,554
2026-02-01,surgery,10.75,1.0,513,467,43.458333333333336,55,81.0975,77,103,333,513
2026-02-02,ICU,5.6,1.0,521,477,46.583333333333336,55,80.44875,78,104,339,521
2026-02-03,emergency,7.2,1.0,534,492,42.833333333333336,44,81.20041666666667,80,107,347,534
2026-02-04,general_medicine,5.857142857142857,2.0,503,460,42.708333333333336,38,81.50500000000001,75,101,327,503
2026-02-05,surgery,5.5,2.0,469,427,46.166666666666664,42,81.29458333333334,70,94,305,469
2026-02-06,ICU,8.5,1.0,539,490,44.666666666666664,55,81.69916666666667,81,108,350,539
2026-02-07,emergency,10.5,1.0,532,472,46.291666666666664,66,81.15291666666667,80,106,346,532
2026-02-08,general_medicine,7.333333333333333,1.0,503,448,45.041666666666664,44,80.82916666666667,75,101,327,503
2026-02-09,surgery,5.5,2.0,545,494,44.041666666666664,65,80.54458333333334,82,109,354,545
2026-02-10,ICU,4.0,1.0,536,500,45.791666666666664,77,81.31125,80,107,349,536
2026-02-11,emergency,5.666666666666667,1.0,589,526,43.625,87,82.42375,88,118,383,589
2026-02-12,general_medicine,7.714285714285714,2.0,565,520,46.0,82,80.01083333333334,85,113,367,565
2026-02-13,surgery,4.0,1.0,531,481,44.583333333333336,91,80.70083333333334,80,106,345,531
2026-02-14,ICU,5.6,1.0,540,495,47.583333333333336,73,81.44041666666666,81,108,351,540
2026-02-15,emergency,6.222222222222222,2.0,554,504,43.458333333333336,66,81.33749999999999,83,111,360,554
2026-02-16,general_medicine,10.571428571428571,2.0,586,539,44.75,89,80.03625,88,117,381,586
2026-02-17,surgery,10.0,1.0,572,527,44.458333333333336,75,82.71833333333333,86,114,372,572
2026-02-18,ICU,9.5,1.0,545,508,44.458333333333336,86,80.51,82,109,354,545
2026-02-19,emergency,5.833333333333333,2.0,603,568,46.875,118,81.03166666666667,90,121,392,603
2026-02-20,general_medicine,7.714285714285714,2.0,584,542,45.916666666666664,93,82.95958333333333,88,117,379,584
2026-02-21,surgery,4.5,1.0,581,537,43.458333333333336,99,82.83666666666666,87,116,378,581
2026-02-22,ICU,7.666666666666667,1.0,580,534,43.083333333333336,115,79.92791666666666,87,116,377,580
2026-02-23,emergency,7.5,2.0,569,527,44.791666666666664,121,81.0675,85,114,370,569
2026-02-24,general_medicine,7.0,2.0,608,556,45.541666666666664,119,79.60833333333333,91,122,395,608
2026-02-25,surgery,12.0,1.0,632,580,43.708333333333336,117,82.22125,95,126,411,632
2026-02-26,ICU,4.25,1.0,586,529,43.208333333333336,105,83.62958333333334,88,117,381,586
2026-02-27,emergency,9.6,1.0,564,512,45.0,118,80.33833333333332,85,113,366,564
2026-02-28,general_medicine,7.0,1.0,622,576,45.208333333333336,139,83.44916666666667,93,124,405,622
2026-03-01,surgery,6.25,1.0,598,555,43.916666666666664,123,82.01708333333333,90,120,388,598
2026-03-02,ICU,9.0,1.0,571,521,44.416666666666664,115,81.46416666666667,86,114,371,571
2026-03-03,emergency,3.0,1.0,667,623,44.416666666666664,129,82.29416666666667,100,133,434,667
2026-03-04,general_medicine,8.0,1.0,630,577,42.875,147,80.92958333333333,94,126,410,630
2026-03-05,surgery,7.6,1.0,631,584,44.291666666666664,145,81.83458333333333,95,126,410,631
2026-03-06,ICU,6.0,1.0,649,605,45.166666666666664,144,81.79458333333334,97,130,422,649
2026-03-07,emergency,8.666666666666666,2.0,631,589,44.666666666666664,149,81.05458333333333,95,126,410,631
2026-03-08,general_medicine,8.0,2.0,610,566,43.416666666666664,134,79.91791666666667,92,122,396,610
2026-03-09,surgery,7.0,1.0,640,589,44.708333333333336,167,80.94625,96,128,416,640
2026-03-10,ICU,5.8,1.0,651,601,44.875,152,83.15375,98,130,423,651
2026-03-11,emergency,8.4,1.0,612,569,43.875,156,80.06708333333334,92,122,398,612
2026-03-12,general_medicine,9.0,1.0,633,589,43.875,151,83.07958333333333,95,127,411,633
2026-03-13,surgery,8.2,1.0,651,610,45.291666666666664,174,81.48666666666666,98,130,423,651
2026-03-14,ICU,6.142857142857143,2.0,613,563,45.5,163,82.95625,92,123,398,613
2026-03-15,emergency,8.2,1.0,644,593,44.708333333333336,168,80.74958333333333,97,129,418,644
2026-03-16,general_medicine,6.5,2.0,659,602,43.208333333333336,165,81.67625,99,132,428,659
2026-03-17,surgery,8.666666666666666,2.0,646,605,44.333333333333336,172,79.67,97,129,420,646
2026-03-18,ICU,8.5,1.0,669,636,42.666666666666664,200,80.91125,100,134,435,669
2026-03-19,emergency,3.75,1.0,671,632,42.791666666666664,167,81.72083333333333,101,134,436,671
2026-03-20,general_medicine,3.8,1.0,662,616,42.916666666666664,180,82.14583333333333,99,132,431,662
2026-03-21,surgery,6.25,2.0,685,631,44.166666666666664,195,81.35291666666667,103,137,445,685
2026-03-22,ICU,8.8,1.0,649,611,46.583333333333336,179,80.76791666666666,97,130,422,649
2026-03-23,emergency,9.333333333333334,2.0,669,609,42.666666666666664,170,82.27499999999999,100,134,435,669
2026-03-24,general_medicine,8.25,1.0,657,611,44.875,176,81.63166666666667,99,131,427,657
2026-03-25,surgery,6.5,1.0,647,592,43.916666666666664,184,82.87083333333334,97,129,421,647
2026-03-26,ICU,4.142857142857143,2.0,662,602,45.416666666666664,155,82.4825,99,132,431,662
2026-03-27,emergency,8.2,1.0,701,661,44.041666666666664,173,80.17833333333333,105,140,456,701
2026-03-28,general_medicine,6.125,2.0,672,617,44.708333333333336,168,81.60291666666667,101,134,437,672
2026-03-29,surgery,6.0,1.0,632,578,44.916666666666664,176,79.37583333333333,95,126,411,632
2026-03-30,ICU,9.833333333333334,2.0,683,635,45.833333333333336,181,81.74083333333333,102,137,444,683
2026-03-31,emergency,9.333333333333334,2.0,609,564,43.083333333333336,158,81.4025,91,122,396,609
2026-04-01,general_medicine,3.4,1.0,612,559,42.833333333333336,162,81.3725,92,122,398,612
2026-04-02,surgery,7.333333333333333,2.0,621,570,43.541666666666664,175,80.03708333333334,93,124,404,621
